품목제조신고번호,업소명,제품명,성상,내용량,기준규격,원재료명,신고일자,주된기능성
2025100000,(주)웰빙엘에스,프로바이 플러스 연질캡슐 0,연질캡슐,600mg,프로바이오틱스 200억CFU,"프로바이오틱스,엘라스틴,히알루론산,글리세린,스테아린산마그네슘",2025-01-08,건강 유지에 도움을 줄 수 있음
2025100001,알피바이오(주),밀크씨슬 플러스 과립 1,과립,1500mg,실리마린 175mg,"밀크씨슬추출물,캐모마일추출분말,치커리뿌리추출물,녹차추출물,빌베리추출물,보스웰리아추출물,스테아린산마그네슘",2025-03-14,건강 유지에 도움을 줄 수 있음
2025100002,(주)서흥,베타글루 파워 정제 2,정제,500mg,베타글루칸 250mg,"베타글루칸,히비스커스추출분말,헛개나무열매추출분말,밀납",2025-03-05,건강 유지에 도움을 줄 수 있음
2025100003,코스맥스엔비티(주),오메가3 데일리 젤리 3,젤리,600mg,EPA와DHA의합 700mg,"오메가3,치커리뿌리추출물,프락토올리고당,옥타코사놀,타르트체리분말,대추농축분말,글리세린",2025-05-24,건강 유지에 도움을 줄 수 있음
2025100004,종근당바이오(주),밀크씨슬 프리미엄 과립 4,과립,1200mg,실리마린 130mg,"밀크씨슬추출물,대추농축분말,히비스커스추출분말,로즈마리추출물,난소화성말토덱스트린,이산화규소,레시틴",2025-07-03,건강 유지에 도움을 줄 수 있음
2025100005,(주)서흥,테아닌 파워 정제 5,정제,2000mg,L-테아닌 200mg,"테아닌,아스타잔틴,난소화성말토덱스트린,프락토올리고당,히프로멜로스,스테아린산마그네슘",2025-03-24,건강 유지에 도움을 줄 수 있음
2025100006,(주)웰빙엘에스,테아닌 파워 정제 6,정제,800mg,L-테아닌 150mg,"테아닌,아스타잔틴,프락토올리고당,초록입홍합추출오일,밀납,글리세린,결정셀룰로오스",2025-04-02,건강 유지에 도움을 줄 수 있음
2025100007,(주)웰빙엘에스,테아닌 파워 경질캡슐 7,경질캡슐,300mg,L-테아닌 150mg,"테아닌,보스웰리아추출물,로즈마리추출물,울금추출물,히프로멜로스,정제수,젤라틴",2025-02-09,건강 유지에 도움을 줄 수 있음
2025100008,(주)노바렉스,베타글루 프리미엄 기타(환) 8,기타(환),1200mg,베타글루칸 100mg,"베타글루칸,보스웰리아추출물,타우린,석류농축분말,L-카르니틴,대추농축분말,히프로멜로스,레시틴,이산화규소",2025-07-09,건강 유지에 도움을 줄 수 있음
2025100009,종근당바이오(주),테아닌 이너 경질캡슐 9,경질캡슐,1200mg,L-테아닌 200mg,"테아닌,타르트체리분말,히알루론산,대추농축분말,히프로멜로스,글리세린",2025-02-20,건강 유지에 도움을 줄 수 있음
2025100010,종근당바이오(주),프로바이 데일리 젤리 10,젤리,1500mg,프로바이오틱스 500억CFU,"프로바이오틱스,로즈마리추출물,히비스커스추출분말,젤라틴,결정셀룰로오스",2025-10-05,건강 유지에 도움을 줄 수 있음
2025100011,종근당바이오(주),테아닌 프리미엄 액상 11,액상,600mg,L-테아닌 200mg,"테아닌,아티초크추출물,타르트체리분말,아스타잔틴,글리세린,스테아린산마그네슘",2025-10-19,건강 유지에 도움을 줄 수 있음
2025100012,(주)뉴트리,밀크씨슬 데일리 액상 12,액상,600mg,실리마린 140mg,"밀크씨슬추출물,히알루론산,헛개나무열매추출분말,초록입홍합추출오일,스테아린산마그네슘,히프로멜로스",2025-02-07,건강 유지에 도움을 줄 수 있음
2025100013,(주)노바렉스,프로바이 파워 기타(환) 13,기타(환),1500mg,프로바이오틱스 10억CFU,"프로바이오틱스,레몬밤추출분말,캐모마일추출분말,이산화규소,글리세린",2025-12-08,건강 유지에 도움을 줄 수 있음
2025100014,코스맥스엔비티(주),MSM 골드 정제 14,정제,500mg,MSM 2000mg,"MSM,프로폴리스추출분말,대추농축분말,캐모마일추출분말,아스타잔틴,난소화성말토덱스트린,레시틴",2025-03-17,건강 유지에 도움을 줄 수 있음
2025100015,(주)서흥,홍삼농축 골드 액상 15,액상,500mg,진세노사이드 6mg,"홍삼농축액,히알루론산,타르트체리분말,밀납,스테아린산마그네슘",2025-01-08,건강 유지에 도움을 줄 수 있음
2025100016,한국인삼공사,테아닌 데일리 기타(환) 16,기타(환),2000mg,L-테아닌 200mg,"테아닌,레몬밤추출분말,울금추출물,밀납,젤라틴,글리세린",2025-02-10,건강 유지에 도움을 줄 수 있음
2025100017,(주)웰빙엘에스,콜라겐 파워 분말 17,분말,600mg,저분자콜라겐펩타이드 500mg,"콜라겐,타우린,히비스커스추출분말,녹차추출물,석류농축분말,히프로멜로스",2025-01-27,건강 유지에 도움을 줄 수 있음
2025100018,한국인삼공사,프로바이 데일리 연질캡슐 18,연질캡슐,500mg,프로바이오틱스 10억CFU,"프로바이오틱스,프로폴리스추출분말,아티초크추출물,결정셀룰로오스,이산화규소,히프로멜로스",2025-05-06,건강 유지에 도움을 줄 수 있음
2025100019,콜마비앤에이치(주),홍삼농축 데일리 정제 19,정제,1500mg,진세노사이드 4.5mg,"홍삼농축액,히비스커스추출분말,프락토올리고당,레몬밤추출분말,히프로멜로스,결정셀룰로오스",2025-05-16,건강 유지에 도움을 줄 수 있음
2025100020,알피바이오(주),테아닌 프리미엄 연질캡슐 20,연질캡슐,300mg,L-테아닌 100mg,"테아닌,아스타잔틴,L-카르니틴,타르트체리분말,보스웰리아추출물,대추농축분말,젤라틴,이산화규소",2025-11-07,건강 유지에 도움을 줄 수 있음
2025100021,콜마비앤에이치(주),오메가3 파워 연질캡슐 21,연질캡슐,1500mg,EPA와DHA의합 700mg,"오메가3,히알루론산,대추농축분말,프로폴리스추출분말,레몬밤추출분말,엘라스틴,레시틴",2025-06-24,건강 유지에 도움을 줄 수 있음
2025100022,일동바이오사이언스(주),콜라겐 프리미엄 액상 22,액상,600mg,저분자콜라겐펩타이드 2000mg,"콜라겐,헛개나무열매추출분말,초록입홍합추출오일,보스웰리아추출물,L-카르니틴,정제수,레시틴,결정셀룰로오스",2025-09-01,건강 유지에 도움을 줄 수 있음
2025100023,한국인삼공사,가르시니 플러스 과립 23,과립,500mg,HCA 500mg,"가르시니아캄보지아추출물,난소화성말토덱스트린,히비스커스추출분말,아스타잔틴,프로폴리스추출분말,대추농축분말,정제수,대두유,스테아린산마그네슘",2025-03-16,건강 유지에 도움을 줄 수 있음
2025100024,(주)서흥,베타글루 골드 젤리 24,젤리,300mg,베타글루칸 250mg,"베타글루칸,로즈마리추출물,울금추출물,헛개나무열매추출분말,히프로멜로스,대두유",2025-02-05,건강 유지에 도움을 줄 수 있음
2025100025,종근당바이오(주),프로바이 플러스 경질캡슐 25,경질캡슐,1200mg,프로바이오틱스 50억CFU,"프로바이오틱스,아스타잔틴,타르트체리분말,글리세린",2025-09-26,건강 유지에 도움을 줄 수 있음
2025100026,(주)노바렉스,루테인 플러스 분말 26,분말,450mg,루테인 16mg,"루테인,옥타코사놀,초록입홍합추출오일,레몬밤추출분말,로즈마리추출물,대추농축분말,이산화규소,젤라틴,정제수",2025-09-24,건강 유지에 도움을 줄 수 있음
2025100027,(주)뉴트리,오메가3 프리미엄 경질캡슐 27,경질캡슐,1200mg,EPA와DHA의합 1000mg,"오메가3,엘라스틴,울금추출물,아스타잔틴,대추농축분말,정제수,레시틴,밀납",2025-07-15,건강 유지에 도움을 줄 수 있음
2025100028,(주)서흥,밀크씨슬 프리미엄 경질캡슐 28,경질캡슐,800mg,실리마린 100mg,"밀크씨슬추출물,히알루론산,프락토올리고당,녹차추출물,옥타코사놀,스테아린산마그네슘,이산화규소",2025-05-28,건강 유지에 도움을 줄 수 있음
2025100029,(주)뉴트리,콜라겐 파워 정제 29,정제,300mg,저분자콜라겐펩타이드 1500mg,"콜라겐,헛개나무열매추출분말,L-카르니틴,난소화성말토덱스트린,결정셀룰로오스",2025-07-28,건강 유지에 도움을 줄 수 있음
2025100030,종근당바이오(주),MSM 이너 기타(환) 30,기타(환),1200mg,MSM 1500mg,"MSM,아스타잔틴,보스웰리아추출물,프락토올리고당,히비스커스추출분말,스테아린산마그네슘,레시틴",2025-02-01,건강 유지에 도움을 줄 수 있음
2025100031,(주)뉴트리,프로바이 데일리 연질캡슐 31,연질캡슐,300mg,프로바이오틱스 50억CFU,"프로바이오틱스,아티초크추출물,로즈마리추출물,스테아린산마그네슘",2025-05-17,건강 유지에 도움을 줄 수 있음
2025100032,한국인삼공사,밀크씨슬 플러스 젤리 32,젤리,800mg,실리마린 175mg,"밀크씨슬추출물,아티초크추출물,캐모마일추출분말,프락토올리고당,타우린,옥타코사놀,결정셀룰로오스,글리세린,정제수",2025-08-03,건강 유지에 도움을 줄 수 있음
2025100033,(주)서흥,프로바이 이너 연질캡슐 33,연질캡슐,1000mg,프로바이오틱스 200억CFU,"프로바이오틱스,녹차추출물,옥타코사놀,아스타잔틴,초록입홍합추출오일,L-카르니틴,결정셀룰로오스,이산화규소",2025-11-18,건강 유지에 도움을 줄 수 있음
2025100034,일동바이오사이언스(주),홍삼농축 골드 젤리 34,젤리,450mg,진세노사이드 9mg,"홍삼농축액,초록입홍합추출오일,프로폴리스추출분말,젤라틴",2025-07-05,건강 유지에 도움을 줄 수 있음
2025100035,(주)서흥,MSM 프리미엄 기타(환) 35,기타(환),800mg,MSM 1000mg,"MSM,L-카르니틴,빌베리추출물,녹차추출물,초록입홍합추출오일,이산화규소,밀납,레시틴",2025-05-18,건강 유지에 도움을 줄 수 있음
2025100036,코스맥스엔비티(주),콜라겐 플러스 과립 36,과립,750mg,저분자콜라겐펩타이드 1500mg,"콜라겐,히알루론산,레몬밤추출분말,젤라틴,정제수",2025-02-20,건강 유지에 도움을 줄 수 있음
2025100037,(주)서흥,콜라겐 파워 액상 37,액상,900mg,저분자콜라겐펩타이드 1000mg,"콜라겐,L-카르니틴,녹차추출물,밀납,레시틴,젤라틴",2025-07-14,건강 유지에 도움을 줄 수 있음
2025100038,알피바이오(주),프로바이 데일리 정제 38,정제,600mg,프로바이오틱스 500억CFU,"프로바이오틱스,프로폴리스추출분말,히비스커스추출분말,아티초크추출물,글리세린",2025-02-10,건강 유지에 도움을 줄 수 있음
2025100039,(주)노바렉스,루테인 프리미엄 액상 39,액상,600mg,루테인 20mg,"루테인,프로폴리스추출분말,보스웰리아추출물,아스타잔틴,옥타코사놀,대두유",2025-07-05,건강 유지에 도움을 줄 수 있음
